Mutation,TP,FP,FN,TN
2:65497095-65497095,0,3,10,25
6:123720799-123720799,0,4,10,24
7:110584425-110584425,0,3,10,25
5:40407236-40407236,0,3,10,25
12:41177563-41177563,0,3,10,25
X:153361421-153361421,0,4,10,24
13:41618217-41618217,1,3,9,25
7:40242396-40242396,0,3,10,25
X:4269946-4269946,0,4,10,24
6:13505527-13505527,0,3,10,25
1:105802001-105802001,0,4,10,24
5:166253080-166253080,0,3,10,25
3:80934767-80934767,0,4,10,24
8:86229180-86229180,0,3,10,25
1:49508091-49508091,0,4,10,24
5:41289175-41289175,0,3,10,25
11:134550815-134550815,0,3,10,25
2:148335941-148335941,0,3,10,25
12:23103439-23103439,0,4,10,24
5:162607455-162607455,3,0,7,28
X:36607892-36607892,2,2,8,26
8:88453946-88453946,0,4,10,24
14:75821424-75821424,0,3,10,25
2:55146600-55146600,0,3,10,25
16:60590586-60590586,0,3,10,25
4:170345468-170345468,0,3,10,25
5:74742458-74742458,0,4,10,24
10:118168440-118168440,0,4,10,24
7:46626858-46626858,0,3,10,25
14:21681298-21681298,0,3,10,25
7:76304981-76304981,0,4,10,24
10:2294096-2294096,0,3,10,25
15:91409972-91409972,0,3,10,25
7:10446870-10446870,0,4,10,24
9:24032745-24032745,0,4,10,24
16:88012479-88012479,0,3,10,25
8:116729814-116729814,0,3,10,25
2:136524285-136524285,0,4,10,24
15:47345557-47345557,0,4,10,24
10:1394975-1394975,2,2,8,26
7:8923312-8923312,0,3,10,25
3:164071674-164071674,0,4,10,24
2:35459451-35459451,0,3,10,25
4:1069383-1069383,0,4,10,24
21:19473332-19473332,0,3,10,25
5:89628792-89628792,3,0,7,28
6:162691910-162691910,0,3,10,25
16:70945622-70945622,0,3,10,25
1:18478532-18478532,0,3,10,25
3:184916681-184916681,0,4,10,24
3:95494297-95494297,0,3,10,25
1:50419838-50419838,0,4,10,24
8:36576768-36576768,0,4,10,24
14:75402327-75402327,0,3,10,25
17:66998711-66998711,0,4,10,24
12:15948285-15948285,0,3,10,25
10:56965860-56965860,0,3,10,25
6:10106597-10106597,0,3,10,25
8:134942219-134942219,0,4,10,24
3:193043274-193043274,0,3,10,25
X:142348516-142348516,0,4,10,24
20:46321072-46321072,0,4,10,24
8:80462887-80462887,0,3,10,25
7:3072853-3072853,0,3,10,25
12:84728020-84728020,0,4,10,24
14:19903087-19903087,4,0,6,28
13:65295993-65295993,0,3,10,25
9:29658977-29658977,0,4,10,24
X:93659182-93659182,0,3,10,25
11:84502907-84502907,0,3,10,25
1:170972793-170972793,0,3,10,25
X:57438643-57438643,0,4,10,24
3:76976449-76976449,0,3,10,25
2:21507230-21507230,0,4,10,24
11:36885461-36885461,0,4,10,24
8:20082231-20082231,0,3,10,25
2:147604718-147604718,0,4,10,24
4:36084513-36084513,0,4,10,24
2:174412274-174412274,0,3,10,25
X:155042045-155042045,1,3,9,25
1:99894673-99894673,0,4,10,24
7:144839440-144839440,0,4,10,24
14:79834504-79834504,0,4,10,24
9:8302195-8302195,0,4,10,24
13:21251350-21251350,0,3,10,25
7:95890968-95890968,0,3,10,25
2:12925428-12925428,0,4,10,24
7:77160483-77160483,0,4,10,24
18:31010774-31010774,0,3,10,25
5:38457028-38457028,0,3,10,25
X:144651040-144651040,0,3,10,25
22:48751769-48751769,0,3,10,25
21:42325580-42325580,0,3,10,25
6:84077416-84077416,0,3,10,25
12:53746448-53746448,0,3,10,25
13:77146002-77146002,0,4,10,24
11:102168546-102168546,0,3,10,25
6:129396710-129396710,0,3,10,25
3:73171119-73171119,0,3,10,25
11:132458238-132458238,0,3,10,25
11:3604375-3604375,2,1,8,27
7:98402403-98402403,0,4,10,24
6:159781059-159781059,0,4,10,24
X:19978350-19978350,0,3,10,25
3:82471931-82471931,0,3,10,25
18:51092652-51092652,0,3,10,25
7:8992999-8992999,0,4,10,24
5:57353092-57353092,0,4,10,24
1:51444695-51444695,0,4,10,24
2:214349938-214349938,0,3,10,25
5:163068532-163068532,0,4,10,24
X:3649927-3649927,0,3,10,25
2:199835481-199835481,0,3,10,25
2:217688018-217688018,0,4,10,24
17:55162453-55162453,0,4,10,24
1:248525100-248525100,0,3,10,25
1:228713643-228713643,0,3,10,25
5:164329026-164329026,0,4,10,24
11:35224385-35224385,0,4,10,24
10:115915927-115915927,0,4,10,24
X:87913812-87913812,0,3,10,25
7:141064026-141064026,0,3,10,25
2:2781413-2781413,0,4,10,24
3:59677006-59677006,0,4,10,24
17:46796147-46796147,0,4,10,24
11:118637084-118637084,0,3,10,25
5:23691150-23691150,0,3,10,25
20:6281418-6281418,0,3,10,25
16:20569009-20569009,0,4,10,24
17:26565279-26565279,2,1,8,27
11:48432921-48432921,0,4,10,24
7:57719550-57719550,0,4,10,24
7:93681239-93681239,0,3,10,25
19:34144225-34144225,0,3,10,25
7:11104911-11104911,0,3,10,25
1:739010-739010,0,3,10,25
3:4578361-4578361,0,3,10,25
4:13619516-13619516,0,3,10,25
9:124756612-124756612,0,4,10,24
20:58086282-58086282,0,3,10,25
1:49368838-49368838,0,4,10,24
7:119609216-119609216,0,4,10,24
2:147274889-147274889,0,3,10,25
11:85271669-85271669,0,3,10,25
6:65563926-65563926,0,4,10,24
4:156477294-156477294,0,3,10,25
18:69574226-69574226,0,4,10,24
2:78199572-78199572,0,4,10,24
3:11228148-11228148,0,3,10,25
6:149208739-149208739,0,3,10,25
X:137554463-137554463,0,4,10,24
17:45232146-45232146,0,4,10,24
4:172145864-172145864,0,3,10,25
4:40817726-40817726,0,3,10,25
12:2517186-2517186,0,3,10,25
3:169773384-169773384,0,3,10,25
2:202878532-202878532,0,4,10,24
1:88087339-88087339,3,5,7,23
13:110267663-110267663,0,4,10,24
11:3503478-3503478,0,5,10,23
3:5906654-5906654,0,3,10,25
8:14417157-14417157,0,3,10,25
3:116138128-116138128,0,4,10,24
1:189771686-189771686,0,4,10,24
12:72383986-72383986,0,3,10,25
14:28334408-28334408,0,4,10,24
7:76177277-76177277,3,0,7,28
17:35106010-35106010,0,3,10,25
3:86988702-86988702,0,3,10,25
6:78640212-78640212,4,0,6,28
6:146454346-146454346,0,3,10,25
5:136487897-136487897,0,4,10,24
10:65608238-65608238,2,2,8,26
11:80281257-80281257,0,3,10,25
3:10625979-10625979,0,3,10,25
8:51611134-51611134,0,3,10,25
17:699430-699430,0,4,10,24
5:120917039-120917039,0,3,10,25
17:17193749-17193749,0,3,10,25
19:41184250-41184250,0,3,10,25
X:2915689-2915689,0,3,10,25
3:72843344-72843344,0,4,10,24
4:4208412-4208412,0,3,10,25
13:56297678-56297678,0,4,10,24
16:61016788-61016788,0,3,10,25
X:144354122-144354122,0,3,10,25
2:142016240-142016240,0,4,10,24
2:228457649-228457649,0,4,10,24
3:60130768-60130768,0,3,10,25
19:36697015-36697015,0,4,10,24
18:39142960-39142960,0,3,10,25
2:150490124-150490124,0,4,10,24
18:69685274-69685274,0,4,10,24
15:83887525-83887525,0,4,10,24
1:5039873-5039873,0,4,10,24
7:138817402-138817402,0,3,10,25
1:33312533-33312533,2,2,8,26
8:144724735-144724735,0,3,10,25
3:78086122-78086122,0,3,10,25
3:42933542-42933542,0,3,10,25
21:14946757-14946757,0,3,10,25
3:98228081-98228081,0,3,10,25
12:10579132-10579132,0,3,10,25
8:99055873-99055873,0,3,10,25
1:172830570-172830570,0,4,10,24
5:95110742-95110742,0,3,10,25
X:143764976-143764976,0,3,10,25
1:49892880-49892880,0,4,10,24
6:57748731-57748731,0,3,10,25
12:39709951-39709951,0,4,10,24
2:202837089-202837089,0,3,10,25
10:121728056-121728056,0,3,10,25
15:35073628-35073628,0,4,10,24
5:76189817-76189817,0,4,10,24
1:242726797-242726797,0,3,10,25
1:101486069-101486069,0,4,10,24
8:5459910-5459910,0,3,10,25
9:69825456-69825456,3,0,7,28
10:125138943-125138943,0,3,10,25
1:225887836-225887836,0,3,10,25
11:18367820-18367820,0,3,10,25
14:43871783-43871783,0,4,10,24
1:66587997-66587997,0,3,10,25
7:50732239-50732239,0,3,10,25
15:45440054-45440054,0,3,10,25
19:31109767-31109767,0,4,10,24
7:65255536-65255536,0,3,10,25
7:8960026-8960026,0,3,10,25
6:14739428-14739428,0,3,10,25
20:60897468-60897468,0,3,10,25
5:152233770-152233770,0,4,10,24
8:138415240-138415240,0,3,10,25
13:86606702-86606702,0,3,10,25
4:157952735-157952735,1,2,9,26
16:46624025-46624025,1,5,9,23
14:75254708-75254708,0,4,10,24
7:57118221-57118221,0,4,10,24
20:38537039-38537039,0,3,10,25
4:189358371-189358371,0,3,10,25
6:67175609-67175609,0,4,10,24
11:88586204-88586204,0,3,10,25
16:25767174-25767174,0,4,10,24
3:139598350-139598350,0,3,10,25
3:50688998-50688998,0,4,10,24
7:68722391-68722391,0,4,10,24
1:17222324-17222324,0,4,10,24
13:98381852-98381852,0,3,10,25
18:50638422-50638422,0,4,10,24
1:153012890-153012890,0,3,10,25
5:42183116-42183116,0,4,10,24
12:38528863-38528863,0,4,10,24
18:38334209-38334209,0,3,10,25
10:97937618-97937618,0,4,10,24
5:118100889-118100889,0,3,10,25
17:11005597-11005597,0,4,10,24
10:81993495-81993495,0,3,10,25
1:221890295-221890295,0,3,10,25
2:134114595-134114595,0,3,10,25
1:99243229-99243229,0,3,10,25
1:183388338-183388338,0,4,10,24
8:111842888-111842888,0,4,10,24
12:45499316-45499316,0,4,10,24
11:132802920-132802920,0,4,10,24
8:81620142-81620142,0,3,10,25
4:17342256-17342256,0,4,10,24
3:1736733-1736733,0,3,10,25
9:22661579-22661579,0,3,10,25
1:238786666-238786666,0,4,10,24
7:73502807-73502807,0,3,10,25
1:4430068-4430068,0,3,10,25
1:197210455-197210455,0,4,10,24
1:120819034-120819034,3,0,7,28
1:226575517-226575517,0,3,10,25
4:57020007-57020007,0,3,10,25
2:57252298-57252298,0,3,10,25
6:77090026-77090026,0,4,10,24
1:106731643-106731643,0,3,10,25
3:141813026-141813026,0,3,10,25
2:183063932-183063932,0,4,10,24
5:130016131-130016131,0,4,10,24
12:71748071-71748071,0,4,10,24
1:158984995-158984995,0,3,10,25
1:12405166-12405166,0,3,10,25
12:59607849-59607849,0,4,10,24
X:124403818-124403818,0,4,10,24
16:20572348-20572348,0,3,10,25
5:27737015-27737015,0,3,10,25
6:73711135-73711135,0,4,10,24
15:90971319-90971319,0,3,10,25
4:74349535-74349535,0,4,10,24
X:142929653-142929653,0,3,10,25
9:91677293-91677293,0,3,10,25
6:72674860-72674860,0,4,10,24
1:244477273-244477273,0,3,10,25
3:133663204-133663204,0,3,10,25
6:62259728-62259728,0,4,10,24
18:39083931-39083931,0,3,10,25
7:12621885-12621885,0,3,10,25
6:52336580-52336580,0,3,10,25
16:53154807-53154807,0,3,10,25
10:57721769-57721769,0,3,10,25
X:143395668-143395668,0,3,10,25
7:56922247-56922247,3,0,7,28
6:142188126-142188126,0,4,10,24
2:5270661-5270661,0,4,10,24
6:22803415-22803415,0,4,10,24
7:80126848-80126848,0,5,10,23
17:64675180-64675180,0,3,10,25
X:56656703-56656703,3,3,7,25
3:53306822-53306822,0,3,10,25
7:120532822-120532822,0,4,10,24
X:101072239-101072239,0,4,10,24
12:24427280-24427280,0,3,10,25
1:222880567-222880567,0,3,10,25
11:70189996-70189996,0,3,10,25
18:11870538-11870538,1,2,9,26
2:208334238-208334238,0,4,10,24
10:55288719-55288719,0,4,10,24
11:11384083-11384083,0,3,10,25
5:4857264-4857264,0,4,10,24
16:83687024-83687024,0,4,10,24
3:53770514-53770514,0,4,10,24
11:105403144-105403144,0,4,10,24
6:165429136-165429136,0,3,10,25
9:107298345-107298345,0,4,10,24
1:235824682-235824682,0,3,10,25
1:233436461-233436461,0,4,10,24
6:62495622-62495622,0,3,10,25
17:4790388-4790388,0,4,10,24
6:79286796-79286796,0,3,10,25
6:142684324-142684324,0,3,10,25
9:112288566-112288566,0,3,10,25
2:15834428-15834428,0,4,10,24
2:60912336-60912336,0,4,10,24
7:63120896-63120896,3,0,7,28
7:88438909-88438909,0,3,10,25
11:67574876-67574876,0,3,10,25
18:56928443-56928443,2,1,8,27
13:72102752-72102752,0,3,10,25
16:13633906-13633906,0,4,10,24
14:64933551-64933551,0,3,10,25
8:272608-272608,0,3,10,25
10:108580553-108580553,0,3,10,25
1:223956208-223956208,0,3,10,25
18:75108033-75108033,0,3,10,25
8:47512924-47512924,0,3,10,25
12:102954712-102954712,0,3,10,25
2:4623713-4623713,0,4,10,24
11:67364893-67364893,0,7,10,21
2:76092013-76092013,0,3,10,25
4:70528000-70528000,1,3,9,25
12:114417992-114417992,0,3,10,25
4:40280211-40280211,0,3,10,25
12:74121791-74121791,0,3,10,25
11:114021503-114021503,0,3,10,25
10:134127603-134127603,0,3,10,25
3:135095684-135095684,0,4,10,24
12:60884839-60884839,0,4,10,24
11:84254906-84254906,0,4,10,24
11:103679868-103679868,0,3,10,25
16:58432986-58432986,0,3,10,25
1:43517055-43517055,0,3,10,25
5:41979539-41979539,0,4,10,24
12:61384110-61384110,0,3,10,25
22:45261311-45261311,0,3,10,25
9:107782908-107782908,0,3,10,25
2:130866495-130866495,0,4,10,24
10:12464346-12464346,0,3,10,25
1:169037745-169037745,0,3,10,25
15:34723005-34723005,0,4,10,24
12:51269572-51269572,0,3,10,25
20:902259-902259,0,3,10,25
14:41650871-41650871,0,3,10,25
3:135606199-135606199,0,3,10,25
5:145334198-145334198,0,3,10,25
2:117265366-117265366,0,4,10,24
4:63857414-63857414,0,4,10,24
10:50672250-50672250,0,4,10,24
2:234703240-234703240,0,3,10,25
14:38790567-38790567,0,3,10,25
2:112830946-112830946,0,3,10,25
21:24597703-24597703,0,3,10,25
11:132746763-132746763,0,3,10,25
3:75046338-75046338,0,3,10,25
12:61534766-61534766,0,4,10,24
X:145458532-145458532,0,3,10,25
10:45120960-45120960,0,4,10,24
8:28465637-28465637,0,3,10,25
17:38276697-38276697,0,4,10,24
5:44071059-44071059,0,4,10,24
3:98521297-98521297,0,4,10,24
8:130834320-130834320,0,3,10,25
22:44431331-44431331,1,3,9,25
15:23143983-23143983,1,2,9,26
6:57055223-57055223,0,3,10,25
3:97838840-97838840,0,3,10,25
12:30108390-30108390,0,4,10,24
X:14933877-14933877,0,3,10,25
1:243013853-243013853,0,3,10,25
7:76407182-76407182,0,3,10,25
4:112547768-112547768,0,4,10,24
5:161530342-161530342,0,3,10,25
22:21717498-21717498,3,0,7,28
12:19088469-19088469,0,3,10,25
4:149785644-149785644,0,3,10,25
12:82348822-82348822,0,3,10,25
X:44726674-44726674,0,3,10,25
5:161560905-161560905,0,3,10,25
8:22536364-22536364,0,3,10,25
3:102605904-102605904,0,3,10,25
12:105407091-105407091,0,3,10,25
7:113837130-113837130,0,3,10,25
2:66690519-66690519,0,3,10,25
1:5058466-5058466,0,3,10,25
8:100208918-100208918,0,3,10,25
12:63215470-63215470,0,4,10,24
18:30438041-30438041,1,2,9,26
5:52046363-52046363,0,3,10,25
7:92300272-92300272,0,3,10,25
3:142442222-142442222,0,3,10,25
13:82746555-82746555,0,3,10,25
1:19801121-19801121,0,3,10,25
22:17305972-17305972,0,3,10,25
11:24884135-24884135,0,4,10,24
2:199931296-199931296,0,3,10,25
12:44911754-44911754,0,4,10,24
11:90263809-90263809,0,3,10,25
10:111002172-111002172,0,4,10,24
11:60672652-60672652,0,4,10,24
2:236254393-236254393,0,4,10,24
7:77808843-77808843,0,4,10,24
5:161852520-161852520,0,4,10,24
5:84063022-84063022,0,4,10,24
2:117087996-117087996,0,4,10,24
2:110303633-110303633,0,3,10,25
X:143916839-143916839,0,3,10,25
10:78686611-78686611,0,4,10,24
2:214192710-214192710,0,4,10,24
4:122273269-122273269,0,3,10,25
8:97527566-97527566,0,3,10,25
7:66801246-66801246,3,0,7,28
17:73498766-73498766,0,4,10,24
10:113263853-113263853,0,4,10,24
8:27864136-27864136,0,4,10,24
11:133333140-133333140,0,3,10,25
13:100571057-100571057,0,4,10,24
6:48182521-48182521,0,3,10,25
11:99423574-99423574,0,4,10,24
7:84910764-84910764,0,3,10,25
7:8248506-8248506,0,3,10,25
6:64455810-64455810,0,4,10,24
2:128925172-128925172,0,4,10,24
9:135749591-135749591,0,3,10,25
7:87221138-87221138,0,3,10,25
1:193347928-193347928,0,3,10,25
21:14709976-14709976,2,1,8,27
11:55458660-55458660,0,3,10,25
18:2760592-2760592,0,4,10,24
1:74943257-74943257,0,4,10,24
11:66713295-66713295,0,3,10,25
1:103397283-103397283,0,3,10,25
8:35826480-35826480,0,4,10,24
X:124430733-124430733,0,3,10,25
15:96725177-96725177,0,3,10,25
2:123220137-123220137,0,3,10,25
4:179987043-179987043,0,3,10,25
14:42035881-42035881,0,4,10,24
4:18532412-18532412,0,3,10,25
7:42825714-42825714,0,4,10,24
6:73807362-73807362,0,4,10,24
22:25632092-25632092,0,4,10,24
X:96583274-96583274,0,4,10,24
14:84075391-84075391,0,3,10,25
2:25087509-25087509,0,3,10,25
2:131409453-131409453,3,0,7,28
4:176541752-176541752,0,3,10,25
16:32852573-32852573,0,4,10,24
1:75320754-75320754,0,3,10,25
22:36026499-36026499,0,3,10,25
6:120420142-120420142,0,3,10,25
1:106757117-106757117,0,3,10,25
2:127504022-127504022,0,4,10,24
5:119913166-119913166,0,4,10,24
3:102678200-102678200,0,4,10,24
