Name1	Name2
ENSG00000011243	AKAP8L
ENSG00000078061	ARAF
ENSG00000147854	UHRF2
ENSG00000120539	MASTL
ENSG00000113196	HAND1
ENSG00000211891	IGHE
ENSG00000257587	AC136188.1
ENSG00000125354	SEPT6
ENSG00000080815	PSEN1
ENSG00000254605	AP003555.2
ENSG00000023839	ABCC2
ENSG00000266235	MIR3176
ENSG00000149346	SLX4IP
ENSG00000230826	AL390774.2
ENSG00000253915	MAPRE1P1
ENSG00000254781	GVINP2
ENSG00000255786	AP000763.1
ENSG00000207962	MIR30C1
ENSG00000134121	CHL1
ENSG00000133731	IMPA1
ENSG00000131386	GALNT15
ENSG00000228730	LINC02013
ENSG00000271661	BNIP3P36
ENSG00000130540	SULT4A1
ENSG00000259383	AC012414.3
ENSG00000269898	AC018695.2
ENSG00000258179	AC079598.3
ENSG00000182196	ARL6IP4
ENSG00000005189	REXO5
ENSG00000255871	AC007529.1
ENSG00000259340	AC110588.1
ENSG00000225285	LINC01770
ENSG00000255214	AP006587.4
ENSG00000206855	RNU6-571P
ENSG00000253554	AC022639.1
ENSG00000224358	AL451074.2
ENSG00000234503	AP000550.2
ENSG00000167114	SLC27A4
ENSG00000233589	AL138789.1
ENSG00000248771	SMIM31
ENSG00000199276	RNA5SP26
ENSG00000249865	AC027343.2
ENSG00000146701	MDH2
ENSG00000204003	AL355987.1
ENSG00000264345	LINC01894
ENSG00000172459	OR5AR1
ENSG00000128802	
ENSG00000081307	UBA5
ENSG00000177425	PAWR
ENSG00000188825	LINC00910
ENSG00000179454	KLHL28
ENSG00000228334	AC024028.1
ENSG00000249960	AC067942.3
ENSG00000266089	
ENSG00000257869	AL139023.1
ENSG00000272983	AL117339.4
ENSG00000065534	MYLK
ENSG00000225489	AL354707.1
ENSG00000103047	TANGO6
ENSG00000223345	HIST2H2BA
ENSG00000148672	GLUD1
ENSG00000226232	NPIPB14P
ENSG00000158825	CDA
ENSG00000237611	RF00017
ENSG00000162383	SLC1A7
ENSG00000251460	AC097381.2
ENSG00000262395	
ENSG00000256660	CLEC12B
ENSG00000067208	EVI5
ENSG00000122912	SLC25A16
ENSG00000097007	ABL1
ENSG00000221489	
ENSG00000253040	RNA5SP454
ENSG00000254693	AC010768.1
ENSG00000255361	AC103843.2
ENSG00000226302	AC122683.1
ENSG00000267157	AC011499.1
ENSG00000005469	CROT
ENSG00000174963	ZIC4
ENSG00000254607	AP001783.1
ENSG00000231178	AL357832.1
ENSG00000232285	ELOBP3
ENSG00000249237	AL359273.1
ENSG00000272707	AC046143.2
ENSG00000173391	OLR1
ENSG00000140398	NEIL1
ENSG00000144834	TAGLN3
ENSG00000240639	RN7SL666P
ENSG00000266544	
ENSG00000263539	
ENSG00000010278	CD9
ENSG00000165572	KBTBD6
ENSG00000132840	BHMT2
ENSG00000108433	GOSR2
ENSG00000253225	AC103833.1
ENSG00000244066	RN7SL148P
ENSG00000249038	AARSP1
ENSG00000273087	
ENSG00000265533	AC114689.3
ENSG00000116649	SRM
ENSG00000163945	UVSSA
ENSG00000174899	PQLC2L
ENSG00000125454	SLC25A19
ENSG00000252929	RNU6-218P
ENSG00000255553	AP003733.3
ENSG00000200463	SNORD118
ENSG00000231238	LINC00349
ENSG00000155636	RBM45
ENSG00000105509	HAS1
ENSG00000261590	AC018554.2
ENSG00000265818	EEF1E1-BLOC1S5
ENSG00000241243	RN7SL629P
ENSG00000104221	BRF2
ENSG00000173517	PEAK1
ENSG00000241343	RPL36A
ENSG00000268461	AC078899.2
ENSG00000075407	ZNF37A
ENSG00000253981	ALG1L13P
ENSG00000237307	SRRM1P3
ENSG00000272843	AC211476.2
ENSG00000137869	CYP19A1
ENSG00000188766	SPRED3
ENSG00000106689	LHX2
ENSG00000259888	
ENSG00000212433	RNA5SP252
ENSG00000227398	KIF9-AS1
ENSG00000262115	AC027601.2
ENSG00000158764	ITLN2
ENSG00000261385	AC009088.3
ENSG00000261840	AC093249.6
ENSG00000152700	SAR1B
ENSG00000270909	CR788268.1
ENSG00000113248	PCDHB15
ENSG00000235976	Z80107.2
ENSG00000215559	ANKRD20A11P
ENSG00000183960	KCNH8
ENSG00000231864	AL807752.3
ENSG00000233309	RPS6P12
ENSG00000181785	OR5AS1
ENSG00000269256	AC024603.1
ENSG00000162493	PDPN
ENSG00000263823	AC009831.1
ENSG00000168826	ZBTB49
ENSG00000198561	CTNND1
ENSG00000138326	RPS24
ENSG00000272175	AL050343.2
ENSG00000228420	LINC01768
ENSG00000227056	RPL6P2
ENSG00000253242	IGLVIV-64
ENSG00000267191	AC006213.3
ENSG00000200987	SNORD115-30
ENSG00000135824	RGS8
ENSG00000244137	AL512328.1
ENSG00000150275	PCDH15
ENSG00000253183	AC005531.1
ENSG00000013293	SLC7A14
ENSG00000231527	CR769775.1
ENSG00000267080	ASB16-AS1
ENSG00000225945	AL121574.1
ENSG00000179085	DPM3
ENSG00000176945	MUC20
ENSG00000102904	TSNAXIP1
ENSG00000268995	VN1R82P
ENSG00000271475	AL078624.2
ENSG00000116983	HPCAL4
ENSG00000259274	AC107241.1
ENSG00000160305	DIP2A
ENSG00000129951	PLPPR3
ENSG00000171314	PGAM1
ENSG00000251256	LINC02358
ENSG00000236870	AL121882.1
ENSG00000160753	RUSC1
ENSG00000243729	OR5V1
ENSG00000221031	RF00621
ENSG00000204428	LY6G5C
ENSG00000182095	TNRC18
ENSG00000231769	AL035701.1
ENSG00000200942	RNU6-501P
ENSG00000168418	KCNG4
ENSG00000118564	FBXL5
ENSG00000181019	NQO1
ENSG00000252591	RNA5SP468
ENSG00000216056	MIR891A
ENSG00000011275	RNF216
ENSG00000140830	TXNL4B
ENSG00000226763	SRRM5
ENSG00000272682	AC004471.2
ENSG00000136942	RPL35
ENSG00000256061	DNAAF4
ENSG00000256603	AP003170.4
ENSG00000148841	ITPRIP
ENSG00000238662	
ENSG00000174282	ZBTB4
ENSG00000145002	FAM86B2
ENSG00000138741	TRPC3
ENSG00000239181	
ENSG00000266009	AC087393.3
ENSG00000214617	SLC6A10P
ENSG00000233007	UBTFL11
ENSG00000058404	CAMK2B
ENSG00000180658	OR2A4
ENSG00000170616	
ENSG00000264374	
ENSG00000262660	AC139530.2
ENSG00000131495	NDUFA2
ENSG00000258700	LINC00871
ENSG00000207073	RF00019
ENSG00000171236	LRG1
ENSG00000199964	RF00019
ENSG00000251774	RNU6-377P
ENSG00000236168	AL133466.1
ENSG00000185808	PIGP
ENSG00000234742	AC144530.1
ENSG00000205494	OR52A4P
ENSG00000258729	AL355102.3
ENSG00000243954	RN7SL743P
ENSG00000203733	GJE1
ENSG00000255428	AP002008.3
ENSG00000197887	OR1S2
ENSG00000222011	FAM185A
ENSG00000231072	GAPDHP64
ENSG00000255563	AC021006.3
ENSG00000257292	AC117372.1
ENSG00000145708	CRHBP
ENSG00000182103	FAM181B
ENSG00000270069	MIR222HG
ENSG00000136273	HUS1
ENSG00000230379	AP000146.1
ENSG00000263975	
ENSG00000233236	LINC02573
ENSG00000213073	AL353625.1
ENSG00000151611	MMAA
ENSG00000136834	OR1J1
ENSG00000222503	RF00019
ENSG00000259984	AL928711.1
ENSG00000269074	
ENSG00000186442	KRT3
ENSG00000252840	RF00405
ENSG00000226549	SCDP1
ENSG00000273088	AL713999.1
ENSG00000254143	AC022733.2
ENSG00000256916	AP000851.1
ENSG00000216915	GPR89P
ENSG00000207551	MIR608
ENSG00000165916	PSMC3
ENSG00000105438	KDELR1
ENSG00000224406	LINC02052
ENSG00000145242	EPHA5
ENSG00000221373	
ENSG00000267099	NTF6G
ENSG00000224700	AP000844.1
ENSG00000124920	MYRF
ENSG00000225582	AC011193.1
ENSG00000230447	CTF2P
ENSG00000213494	
ENSG00000228683	AC016820.1
ENSG00000108516	AC003958.1
ENSG00000266100	AC007431.2
ENSG00000119328	FAM206A
ENSG00000187537	POTEG
ENSG00000229704	EIF2S2P2
ENSG00000140632	GLYR1
ENSG00000142405	NLRP12
ENSG00000125255	SLC10A2
ENSG00000096060	FKBP5
ENSG00000204844	
ENSG00000262095	MTATP6P25
ENSG00000238223	AL121878.1
ENSG00000212329	RNU6-316P
ENSG00000241362	RPL36AP43
ENSG00000147996	CBWD5
ENSG00000198513	ATL1
ENSG00000105656	ELL
ENSG00000134516	DOCK2
ENSG00000252580	RF00322
ENSG00000255485	OR5G4P
ENSG00000225238	Z93015.1
ENSG00000257045	AC016746.1
ENSG00000222197	
ENSG00000233139	AC244636.2
ENSG00000272411	AC116312.1
ENSG00000250594	AC108145.1
ENSG00000197653	DNAH10
ENSG00000253370	AC027308.1
ENSG00000133116	KL
ENSG00000265050	
ENSG00000232692	AP001596.1
ENSG00000212464	SNORA12
ENSG00000196116	TDRD7
ENSG00000257529	RPL36A-HNRNPH2
ENSG00000182974	AC135068.1
ENSG00000089154	GCN1
ENSG00000234811	AL161932.1
ENSG00000254671	STT3A-AS1
ENSG00000144668	ITGA9
ENSG00000106992	AK1
ENSG00000232872	CTAGE3P
ENSG00000119900	OGFRL1
ENSG00000259066	AL110118.2
ENSG00000231865	
ENSG00000257621	PSMA3-AS1
ENSG00000207110	RNU1-106P
ENSG00000203650	LINC01285
ENSG00000260255	AC093524.1
ENSG00000252316	RNY4
ENSG00000173597	SULT1B1
ENSG00000261436	AC018554.1
ENSG00000232114	AC018693.2
ENSG00000089486	CDIP1
ENSG00000238878	
ENSG00000234005	GAPDHP22
ENSG00000239037	
ENSG00000179994	SPDYE7P
ENSG00000260799	KRT8P50
ENSG00000108958	AC130689.1
ENSG00000229227	AL356056.1
ENSG00000228944	AC004485.1
ENSG00000255409	RSF1-IT1
ENSG00000119457	SLC46A2
ENSG00000101198	NKAIN4
ENSG00000228754	RPL13AP19
ENSG00000260509	AL590787.1
ENSG00000261632	AC022872.1
ENSG00000273264	AL360219.1
ENSG00000106034	CPED1
ENSG00000227753	AC023194.1
ENSG00000120440	TTLL2
ENSG00000258076	CR383656.11
ENSG00000171469	ZNF561
ENSG00000105053	VRK3
ENSG00000201499	RNU6-312P
ENSG00000251538	LINC02201
ENSG00000204659	CBY3
ENSG00000238856	
ENSG00000225353	
ENSG00000253687	AC008456.1
ENSG00000110848	CD69
ENSG00000061938	TNK2
ENSG00000168488	ATXN2L
ENSG00000134453	RBM17
ENSG00000103005	USB1
ENSG00000250583	AC034232.2
ENSG00000271452	AC005034.5
ENSG00000234602	MCIDAS
ENSG00000113593	PPWD1
ENSG00000169372	CRADD
ENSG00000155858	LSM11
ENSG00000265280	
ENSG00000245330	AP005717.1
ENSG00000233373	
ENSG00000253873	PCDHGA11
ENSG00000203772	SPRN
ENSG00000229388	LINC01715
ENSG00000272523	LINC01023
ENSG00000269956	MKNK1-AS1
ENSG00000226332	AL354836.1
ENSG00000237567	Z97206.2
ENSG00000241478	HSPA8P9
ENSG00000218748	DBIP1
ENSG00000228909	LINC01803
ENSG00000250536	ABHD17AP3
ENSG00000141934	PLPP2
ENSG00000258443	AC005225.1
ENSG00000258240	AC002351.1
ENSG00000212278	RF00136
ENSG00000260815	PPIAP47
ENSG00000272047	GTF2H5
ENSG00000125780	TGM3
ENSG00000242012	AC084211.1
ENSG00000126562	WNK4
ENSG00000198739	LRRTM3
ENSG00000166920	C15orf48
ENSG00000163660	CCNL1
ENSG00000101639	CEP192
ENSG00000253413	AC107934.1
ENSG00000153774	CFDP1
ENSG00000172404	DNAJB7
ENSG00000221304	
ENSG00000105426	PTPRS
ENSG00000109790	KLHL5
ENSG00000223437	TMSB4XP3
ENSG00000107290	SETX
ENSG00000240695	AC117382.1
ENSG00000185433	LINC00158
ENSG00000253387	IGHVIII-5-1
ENSG00000183840	GPR39
ENSG00000237031	AC008067.1
ENSG00000156475	PPP2R2B
ENSG00000207327	RNU6-883P
ENSG00000227064	Z82205.1
ENSG00000260402	AC133485.2
ENSG00000223788	DIS3L2P1
ENSG00000188321	ZNF559
ENSG00000267153	CTBP2P3
ENSG00000256682	AC006518.2
ENSG00000238952	
ENSG00000270610	AL160191.2
ENSG00000270558	AC025449.1
ENSG00000226565	AL445493.1
ENSG00000234630	AC245060.2
ENSG00000272225	
ENSG00000240303	ACAD11
ENSG00000139112	GABARAPL1
ENSG00000178172	SPINK6
ENSG00000214389	RPS3AP26
ENSG00000199687	RNU1-38P
ENSG00000196659	TTC30B
ENSG00000253634	AC091096.2
ENSG00000129195	PIMREG
ENSG00000166407	LMO1
ENSG00000106477	CEP41
ENSG00000221456	MIR1202
ENSG00000252365	
ENSG00000141456	PELP1
ENSG00000142751	GPN2
ENSG00000201861	RNA5SP298
ENSG00000271897	AL357518.1
ENSG00000253258	AC068228.1
ENSG00000256667	KLRA1P
ENSG00000258234	AC024257.1
ENSG00000185800	DMWD
ENSG00000117122	MFAP2
ENSG00000163032	VSNL1
ENSG00000238500	RNU7-87P
ENSG00000251118	AC008549.3
ENSG00000252641	RNU6-678P
ENSG00000139351	SYCP3
ENSG00000225203	AL139230.1
ENSG00000147403	RPL10
ENSG00000166135	HIF1AN
ENSG00000207007	RNU6-891P
ENSG00000079432	CIC
ENSG00000140057	AK7
ENSG00000272186	AP003392.6
ENSG00000259849	VENTXP1
ENSG00000270177	AC104109.2
ENSG00000217786	AL355379.1
ENSG00000221375	RNU6ATAC23P
ENSG00000234089	AC099654.1
ENSG00000256373	
ENSG00000267088	AC087683.1
ENSG00000250770	AC005865.2
ENSG00000203465	
ENSG00000234149	AC018511.2
ENSG00000177455	CD19
ENSG00000160678	S100A1
ENSG00000145107	TM4SF19
ENSG00000256538	AC046130.2
ENSG00000248027	AP001351.1
ENSG00000265282	AC005828.4
ENSG00000118496	FBXO30
ENSG00000133835	HSD17B4
ENSG00000235904	RBMS3-AS3
ENSG00000205639	MFSD2B
ENSG00000264914	AC015845.1
ENSG00000268265	
ENSG00000155465	SLC7A7
ENSG00000173088	
ENSG00000227465	GPN3P1
ENSG00000233379	AL139002.1
ENSG00000165731	RET
ENSG00000162377	COA7
ENSG00000087269	NOP14
ENSG00000231243	AC116038.1
ENSG00000135045	C9orf40
ENSG00000260982	
ENSG00000224250	AC025947.1
ENSG00000230448	LINC00276
ENSG00000273211	AC137630.4
ENSG00000230648	AL138831.1
ENSG00000264246	AP005208.1
ENSG00000131408	NR1H2
ENSG00000228115	AL161725.2
ENSG00000103549	RNF40
ENSG00000252352	RF00561
ENSG00000258743	LINC02301
ENSG00000250494	AC009646.1
ENSG00000228679	AL034347.1
ENSG00000223777	AC092162.1
ENSG00000065978	YBX1
ENSG00000268649	AL132655.2
ENSG00000237298	TTN-AS1
ENSG00000224986	PPP1R8P1
ENSG00000169436	COL22A1
ENSG00000162409	PRKAA2
ENSG00000170498	KISS1
ENSG00000223605	AC107399.1
ENSG00000104679	R3HCC1
ENSG00000118292	C1orf54
ENSG00000255226	AC044839.3
ENSG00000268797	AC008537.1
ENSG00000196549	MME
ENSG00000088538	DOCK3
ENSG00000172367	PDZD3
ENSG00000243136	RN7SL22P
ENSG00000256884	AC084880.4
ENSG00000221879	MRPS21P3
ENSG00000086967	MYBPC2
ENSG00000212167	RNU6-763P
ENSG00000169684	CHRNA5
ENSG00000235489	DBF4P1
ENSG00000204860	FAM201A
ENSG00000236152	MRPS36P1
ENSG00000230055	
ENSG00000242692	RPS27AP1
ENSG00000269288	AC092070.3
ENSG00000186010	NDUFA13
ENSG00000241776	AC117482.1
ENSG00000249831	AC093725.1
ENSG00000108239	TBC1D12
ENSG00000238954	
ENSG00000268434	AC011530.1
ENSG00000169018	FEM1B
ENSG00000259602	AC091073.1
ENSG00000249870	AC005920.2
ENSG00000204466	
ENSG00000200086	RNU6-433P
ENSG00000228340	MIR646HG
ENSG00000228137	AP001469.2
ENSG00000248572	EGFLAM-AS2
ENSG00000231772	Z93403.1
ENSG00000228415	PTMAP1
ENSG00000239481	RPS3AP41
ENSG00000263412	AC004477.1
ENSG00000239153	RF01210
ENSG00000137842	TMEM62
ENSG00000230768	LINC01676
ENSG00000242209	AC006445.1
ENSG00000238013	AC109583.1
ENSG00000261777	AC012184.3
ENSG00000207757	MIR93
ENSG00000106327	TFR2
ENSG00000224638	AC106900.1
ENSG00000223945	AC244033.1
ENSG00000124469	CEACAM8
ENSG00000087008	ACOX3
ENSG00000176244	ACBD7
ENSG00000272912	AL356608.1
ENSG00000226621	AC083855.1
ENSG00000218357	LINC01644
ENSG00000219722	RPL26P20
ENSG00000132164	SLC6A11
ENSG00000252866	RNA5SP243
ENSG00000254242	AC100849.2
ENSG00000252579	
ENSG00000263860	AC011840.3
ENSG00000202308	RNU6-996P
ENSG00000224814	AC114812.2
ENSG00000100320	RBFOX2
ENSG00000257434	AC073525.1
ENSG00000214513	NOTO
ENSG00000231929	HMGB3P31
ENSG00000253853	AC246817.1
ENSG00000270627	AL592221.1
ENSG00000170681	CAVIN4
ENSG00000242417	RPL18P1
ENSG00000214012	KRT18P38
ENSG00000249114	AC022447.5
ENSG00000223799	IL10RB-AS1
ENSG00000234327	AC012146.1
ENSG00000134709	HOOK1
ENSG00000237589	HMGN1P32
ENSG00000257995	AC084365.1
ENSG00000235962	RPL7AP53
ENSG00000224064	AL356390.1
ENSG00000055044	NOP58
ENSG00000197063	MAFG
ENSG00000169567	HINT1
ENSG00000236655	AC023347.2
ENSG00000146070	PLA2G7
ENSG00000219102	HNRNPA3P12
ENSG00000197701	
ENSG00000186654	PRR5
ENSG00000221123	
ENSG00000243501	AL365232.1
ENSG00000264697	AC067819.1
ENSG00000175066	GK5
ENSG00000111364	DDX55
ENSG00000257634	AC079310.1
ENSG00000221442	MIR548F4
ENSG00000243018	AC005486.1
ENSG00000145833	DDX46
ENSG00000175564	UCP3
ENSG00000173272	MZT2A
ENSG00000164047	CAMP
ENSG00000263393	AC011825.2
ENSG00000111981	ULBP1
ENSG00000174502	SLC26A9
ENSG00000259214	AC012414.2
ENSG00000243113	
ENSG00000244404	RN7SL216P
ENSG00000264615	RN7SL592P
ENSG00000266227	NPM1P2
ENSG00000213873	PPIAP86
ENSG00000145495	MARCH6
ENSG00000260600	AC092125.1
ENSG00000169783	LINGO1
ENSG00000230920	AL513422.1
ENSG00000170471	RALGAPB
ENSG00000105672	ETV2
ENSG00000129292	PHF20L1
ENSG00000163125	RPRD2
ENSG00000103145	HCFC1R1
ENSG00000234042	AL591438.2
ENSG00000259955	AC008741.1
ENSG00000147896	IFNK
ENSG00000258232	AC125611.3
ENSG00000143631	FLG
ENSG00000178038	ALS2CL
ENSG00000248913	PHBP14
ENSG00000219669	BECN1P2
ENSG00000227045	AL589765.1
ENSG00000136518	ACTL6A
ENSG00000200097	RNU6-1167P
ENSG00000258565	BLZF2P
ENSG00000237470	DCLRE1CP1
ENSG00000207192	RNU6-649P
ENSG00000004838	ZMYND10
ENSG00000102878	HSF4
ENSG00000267029	
ENSG00000254517	AC027369.2
ENSG00000265688	MAFG-AS1
ENSG00000090376	IRAK3
ENSG00000241357	AC092849.2
ENSG00000266490	AC127024.5
ENSG00000225907	RPS27P16
ENSG00000213450	VDAC1P7
ENSG00000182378	PLCXD1
ENSG00000233316	DSCR10
ENSG00000234380	LINC01426
ENSG00000103510	KAT8
ENSG00000222259	RN7SKP114
ENSG00000102103	PQBP1
ENSG00000227879	PSPC1P1
ENSG00000116213	WRAP73
ENSG00000259924	AC011939.1
ENSG00000241353	PPP1R2P4
ENSG00000234015	LINC02530
ENSG00000176055	MBLAC2
ENSG00000136450	SRSF1
ENSG00000111348	ARHGDIB
ENSG00000269583	L34079.3
ENSG00000131183	SLC34A1
ENSG00000226370	LINC00375
ENSG00000251633	GYG1P1
ENSG00000144134	RABL2A
ENSG00000163219	ARHGAP25
ENSG00000230698	AC105935.2
ENSG00000182154	MRPL41
ENSG00000111252	SH2B3
ENSG00000222932	RNU6-172P
ENSG00000069122	ADGRF5
ENSG00000102935	ZNF423
ENSG00000250351	AC233724.9
ENSG00000224532	AL136361.1
ENSG00000239320	RPS29P26
ENSG00000255833	TIFAB
ENSG00000221660	
ENSG00000273308	AC024560.3
ENSG00000231654	RPS6KA2-AS1
ENSG00000235621	LINC00494
ENSG00000099995	SF3A1
ENSG00000269978	AL359881.1
ENSG00000173320	STOX2
ENSG00000223510	CDRT15
ENSG00000137845	ADAM10
ENSG00000188938	FAM120AOS
ENSG00000259511	UBE2Q2L
ENSG00000253560	AC013643.1
ENSG00000232601	AC069218.2
ENSG00000072133	RPS6KA6
ENSG00000229230	MT1P3
ENSG00000253808	IGHVII-46-1
ENSG00000131142	CCL25
ENSG00000154814	OXNAD1
ENSG00000258613	RPL21P7
ENSG00000123201	GUCY1B2
ENSG00000247270	
ENSG00000272933	AL391121.1
ENSG00000234758	AC034228.3
ENSG00000240160	RN7SL263P
ENSG00000227660	UST-AS1
ENSG00000141552	ANAPC11
ENSG00000249752	AC108156.1
ENSG00000100084	HIRA
ENSG00000151846	PABPC3
ENSG00000236574	AC092634.6
ENSG00000235426	AL133481.1
ENSG00000138439	FAM117B
ENSG00000244025	KRTAP19-3
ENSG00000180011	ZADH2
ENSG00000258441	LINC00641
ENSG00000206417	H1FX-AS1
ENSG00000229914	AL138899.2
ENSG00000140280	LYSMD2
ENSG00000251967	RF00591
ENSG00000231147	ARHGAP42P2
ENSG00000213204	AL049697.1
ENSG00000159753	CARMIL2
ENSG00000175611	LINC00476
ENSG00000255814	LINC02439
ENSG00000266777	SH3GL1P1
ENSG00000256947	AP002518.2
ENSG00000257636	G2E3-AS1
ENSG00000270716	BNIP3P15
ENSG00000233656	AL445430.1
ENSG00000178358	OR2D3
ENSG00000272796	
ENSG00000164756	SLC30A8
ENSG00000248550	OTX2-AS1
ENSG00000212576	RNA5SP467
ENSG00000198374	
ENSG00000271761	AL021368.1
ENSG00000221563	MIR1269A
ENSG00000270423	AP001981.1
ENSG00000271947	AC017076.1
ENSG00000222750	RNU4-46P
ENSG00000225760	LINC00431
ENSG00000117593	DARS2
ENSG00000260344	AC133485.1
ENSG00000232212	LINC01701
ENSG00000170365	SMAD1
ENSG00000227400	AC012501.1
ENSG00000146755	TRIM50
ENSG00000207366	RNU6-297P
ENSG00000227189	AC092535.1
ENSG00000228948	SLC25A6P5
ENSG00000228963	OR7E93P
ENSG00000254194	AF279873.4
ENSG00000132185	FCRLA
ENSG00000233595	MTND2P29
ENSG00000227637	
ENSG00000263593	MIR4804
ENSG00000163291	PAQR3
ENSG00000258537	FRMD6-AS2
ENSG00000233325	MIPEPP3
ENSG00000224541	AP001439.1
ENSG00000242991	RPL7P40
ENSG00000180767	CHST13
ENSG00000268483	RPL7AP69
ENSG00000227051	C14orf132
ENSG00000268898	
ENSG00000254996	ANKHD1-EIF4EBP3
ENSG00000263177	MTND1P8
ENSG00000272476	AL024507.2
ENSG00000125450	NUP85
ENSG00000207227	RNU6-900P
ENSG00000103034	NDRG4
ENSG00000254102	AC090136.3
ENSG00000224747	MTCYBP21
ENSG00000248560	AC008620.2
ENSG00000201439	RNU4-67P
ENSG00000161643	SIGLEC16
ENSG00000236318	AC019117.2
ENSG00000233020	AL354872.1
ENSG00000250284	AC109439.2
ENSG00000227179	PGCP1
ENSG00000261377	PDCD6IPP2
ENSG00000253790	AC007991.1
ENSG00000157227	MMP14
ENSG00000254345	IGKV2D-23
ENSG00000232125	DYTN
ENSG00000131233	GJA9
ENSG00000168575	SLC20A2
ENSG00000115750	TAF1B
ENSG00000248787	AC092903.2
ENSG00000260738	LINC00554
ENSG00000104635	SLC39A14
ENSG00000251087	ALG1L3P
ENSG00000236920	AL590727.1
ENSG00000177494	ZBED2
ENSG00000163081	CCDC140
ENSG00000168785	TSPAN5
ENSG00000144645	OSBPL10
ENSG00000258144	LINC02406
ENSG00000162728	KCNJ9
ENSG00000259438	AC090970.2
ENSG00000197774	EME2
ENSG00000270017	AC107976.1
ENSG00000251286	AC097522.1
ENSG00000083457	ITGAE
ENSG00000237667	LINC01115
ENSG00000223773	CD99P1
ENSG00000217139	AL603865.1
ENSG00000236078	LINC01447
ENSG00000119969	HELLS
ENSG00000266941	AC024592.1
ENSG00000255121	AP003392.4
ENSG00000110680	CALCA
ENSG00000264645	
ENSG00000181704	YIPF6
ENSG00000267505	AC005180.2
ENSG00000261334	AL353803.4
ENSG00000205922	ONECUT3
ENSG00000067560	RHOA
ENSG00000227545	AC006455.2
ENSG00000174469	CNTNAP2
ENSG00000226340	AC105402.1
ENSG00000263859	AC145207.6
ENSG00000206249	AL359555.1
ENSG00000149792	MRPL49
ENSG00000237550	RPL9P9
ENSG00000185361	TNFAIP8L1
ENSG00000224600	AL031864.2
ENSG00000241809	AC022133.1
ENSG00000176083	ZNF683
ENSG00000232812	LINC01717
ENSG00000216560	LINC00955
ENSG00000263726	
ENSG00000265901	
ENSG00000078804	TP53INP2
ENSG00000088002	SULT2B1
ENSG00000185792	NLRP9
ENSG00000267758	AC099811.4
ENSG00000253874	IGLVIV-66-1
ENSG00000099624	ATP5F1D
ENSG00000128731	HERC2
ENSG00000254094	AC078852.2
ENSG00000239101	
ENSG00000251718	RNU2-13P
ENSG00000232465	AL049765.1
ENSG00000153339	TRAPPC8
ENSG00000200220	RNU6-179P
ENSG00000271977	AC226119.2
ENSG00000117569	PTBP2
ENSG00000090554	FLT3LG
ENSG00000272247	AC080013.5
ENSG00000260477	LINC01584
ENSG00000230538	Z82209.1
ENSG00000164120	HPGD
ENSG00000214842	RAD51AP2
ENSG00000130950	NUTM2F
ENSG00000179044	EXOC3L1
ENSG00000236508	ATP13A5-AS1
ENSG00000248640	HNRNPA1P56
ENSG00000234123	RHBDF1P1
ENSG00000233467	U40455.1
ENSG00000180438	TPRXL
ENSG00000267145	AC006116.3
ENSG00000157800	SLC37A3
ENSG00000131931	THAP1
