,SA599177,SA599143,SA598026,SA598002,SA601548,SA598067,SA599175,SA599123,SA598046,SA599154,SA599107,SA598013,SA598029,SA599136,SA598027,SA598003,SA598017,SA599169,SA599118,SA601545,SA599102,SA599088,SA598025,SA599157,SA598014,SA599112,SA599132,SA598018,SA599094,SA598012,SA598062,SA599146,SA599092,SA599098,SA599166,SA598001,SA599104,SA598040
cg12928379,0.068040655,0.178204177,0.549899021,0.497076694,0.677398453,0.035798687,0.109417989,0.887720648,0.122397383,0.869787754,0.768307617,0.161924273,0.405630631,0.890368238,0.460240716,0.544551297,0.849687529,0.017362466,0.589177574,0.76559081,0.02988792,0.78426385,0.227432254,0.875104448,0.883006558,0.811238325,0.88594853,0.834820428,0.026277898,0.907862252,0.042614336,0.906129918,0.017293003,0.039146833,0.034301131,0.088687783,0.037429858,0.458689788
cg05482942,0.825812015,0.03377524,0.074018399,0.791839937,0.590403834,0.527680525,0.77602899,0.26394791,0.10987517,0.903965546,0.594143368,0.811165103,0.089649034,0.912378599,0.068725246,0.917497695,0.834315169,0.038452237,0.414232571,0.711058382,0.454531478,0.038072071,0.052271786,0.872717818,0.921322691,0.049412277,0.917948918,0.831649165,0.054057301,0.894803549,0.497162568,0.025234968,0.325025536,0.493506494,0.041946799,0.783887556,0.076050012,0.091635589
cg09000583,0.860421941,0.022123894,0.060298192,0.885600866,0.435265439,0.004942901,0.809172295,0.854403773,0.073512252,0.83212039,0.665270824,0.437965123,0.052549303,0.891874774,0.027264732,0.879226698,0.594964493,0.030573686,0.709043975,0.680926544,0.067756616,0.631214294,0.022536688,0.828406089,0.026564816,0.254049136,0.874464473,0.541190382,0.024460778,0.033800874,0.01943734,0.022563177,0.391950702,0.036846615,0.012302667,0.323493083,0.03046875,0.058399794
cg26107890,0.049041769,0.317749007,0.045814397,0.114457023,0.650922553,0.074023034,0.063661454,0.89037313,0.017668048,0.831300955,0.033737743,0.842579505,0.042778586,0.905560495,0.036121145,0.097922849,0.21118365,0.066035027,0.677069199,0.793605292,0.032598455,0.86701794,0.043551684,0.868673927,0.080055574,0.038605942,0.929016546,0.075746481,0.044267108,0.084929309,0.055032039,0.034445422,0.049849307,0.039105379,0.182646123,0.834172789,0.042170592,0.022725669
cg09130077,0.907157243,0.055558504,0.049461508,0.902489683,0.176597332,0.080294177,0.884343604,0.614096505,0.038918647,0.911937508,0.23935743,0.127615063,0.04744306,0.767945729,0.047512463,0.921968872,0.027342956,0.044244787,0.502957139,0.316491032,0.22319943,0.902133146,0.042033327,0.923623807,0.111019996,0.389611194,0.814530564,0.046282012,0.049474535,0.071913785,0.138692995,0.039472496,0.022054946,0.055872516,0.042916894,0.106253428,0.021499316,0.037680714
cg20912169,0.025137025,0.032758762,0.045298165,0.049114246,0.63472499,0.017517068,0.028668393,0.884369311,0.075768108,0.905269138,0.010582397,0.491884134,0.051078551,0.863985971,0.746218325,0.049991976,0.018029903,0.292765828,0.692187752,0.738915561,0.144931564,0.867585288,0.549877551,0.905545366,0.061692405,0.01622997,0.93135558,0.007583965,0.021673453,0.049398265,0.02689061,0.020496677,0.552583498,0.033391916,0.167249417,0.516502228,0.026510067,0.048929087
cg13001868,0.020900137,0.052344851,0.030456557,0.529935292,0.671526519,0.022725551,0.023897566,0.906944791,0.102215423,0.499476126,0.514510555,0.861945264,0.027978339,0.931188777,0.04879711,0.479493247,0.026727067,0.644727774,0.676587434,0.727422507,0.487970825,0.852988199,0.014630673,0.546293464,0.055090206,0.678311174,0.920013491,0.019572177,0.023049645,0.037078098,0.01934589,0.028243085,0.032454823,0.014440895,0.605303166,0.810508341,0.016456643,0.031016103
cg19578835,0.813792731,0.055153826,0.117312073,0.824661462,0.402195464,0.06705239,0.78392031,0.8586896,0.104101276,0.553708505,0.791625344,0.81922904,0.172838039,0.91639332,0.038262668,0.873524647,0.874413455,0.090487095,0.650269963,0.548920413,0.035187749,0.756967395,0.044610143,0.554307318,0.071166575,0.814154912,0.911058598,0.815692788,0.050051073,0.053823799,0.05957016,0.042228412,0.165154117,0.235455376,0.300156148,0.684610574,0.057465278,0.138979557
cg20295442,0.039636664,0.029280233,0.085050857,0.043754483,0.631611159,0.048701299,0.034641068,0.892785253,0.078853538,0.89123369,0.035874439,0.531133803,0.081843046,0.879531939,0.761734423,0.074927076,0.050998573,0.132575758,0.721172856,0.750942329,0.125211382,0.881140396,0.555730897,0.905796328,0.081746032,0.030955777,0.891335931,0.045416635,0.029721491,0.073658337,0.047514104,0.029775018,0.630077727,0.040634421,0.14604161,0.53728617,0.0501021,0.082241976
cg16616521,0.819139371,0.061654034,0.188559132,0.068220387,0.562737643,0.053701181,0.750925648,0.919366582,0.015685562,0.628205128,0.03714368,0.83205338,0.159593791,0.7663286,0.635788382,0.092647266,0.036558894,0.229829094,0.734389005,0.77959058,0.046395765,0.890403776,0.370581135,0.744791054,0.097119415,0.133126935,0.897661188,0.032907227,0.060812474,0.103413315,0.058316766,0.055532618,0.809383882,0.065901879,0.154992548,0.874270294,0.061131764,0.155358822
cg11029301,0.009508716,0.04132182,0.015695067,0.849676634,0.626838583,0.2799725,0.022362581,0.869187687,0.096135841,0.709986202,0.013977426,0.766787682,0.009878552,0.861295814,0.010709336,0.881336566,0.017715135,0.021409281,0.637073424,0.69900028,0.564948306,0.351343971,0.019533906,0.684580153,0.03036376,0.009571484,0.855554613,0.026964319,0.03170281,0.029678945,0.264097794,0.018243086,0.016435751,0.53597667,0.016295328,0.727700817,0.020674157,0.017492868
cg14768785,0.840105079,0.052560798,0.056,0.864779271,0.4151681,0.058266932,0.780724947,0.803886701,0.104427083,0.560847379,0.793126837,0.776139601,0.076923077,0.921998157,0.554206085,0.844532517,0.034242311,0.114332199,0.646205829,0.556969697,0.750432776,0.022122996,0.347374429,0.624892998,0.072163984,0.824989934,0.855614395,0.034114362,0.056194732,0.087745688,0.048282125,0.150075038,0.050639027,0.683954619,0.144591611,0.807638373,0.048319542,0.052263648
cg18065361,0.012383731,0.019295217,0.015375216,0.039213529,0.497230419,0.020874389,0.010218978,0.858111957,0.116587581,0.904648209,0.006466589,0.219552406,0.027583969,0.886380987,0.693727476,0.036044785,0.010749754,0.118776121,0.701456311,0.672110297,0.036474727,0.848302479,0.458862987,0.904553175,0.031273983,0.005146386,0.920969309,0.011767343,0.018631315,0.042755642,0.011015291,0.01338363,0.536786539,0.017839265,0.052471563,0.236775443,0.008353994,0.020767917
cg17231999,0.541280676,0.053383866,0.180924953,0.261862325,0.613876002,0.111309087,0.541726619,0.05044405,0.169670946,0.93111881,0.77848359,0.888150514,0.180434195,0.918325555,0.381394723,0.155849865,0.028863186,0.058788498,0.09689677,0.821843355,0.844491734,0.167751513,0.286648739,0.908969903,0.086614736,0.705811337,0.929723546,0.025641026,0.06054823,0.139580603,0.12248996,0.017535728,0.04131789,0.800335827,0.04474667,0.861854387,0.078783026,0.188781014
cg04462627,0.664064194,0.049766719,0.030534973,0.08926928,0.50989451,0.037578288,0.615699444,0.91733196,0.194909091,0.540385618,0.49598012,0.866036113,0.036327504,0.935936476,0.468820913,0.094639452,0.872930192,0.029829419,0.673039858,0.677498937,0.714384509,0.713745867,0.325538911,0.581550029,0.105659706,0.047292143,0.935869179,0.866732478,0.028380634,0.096707508,0.045327988,0.037162695,0.012863468,0.403437816,0.034629554,0.815728075,0.028217153,0.050879906
cg08567279,0.761722555,0.05933717,0.047382043,0.7973656,0.558153161,0.041497483,0.707875952,0.851809955,0.091700522,0.846931465,0.479223488,0.793428155,0.078474467,0.895055989,0.560201661,0.885504303,0.029869552,0.047442435,0.618562058,0.655921017,0.651615306,0.678295198,0.395849347,0.834316806,0.088559372,0.488879984,0.889733536,0.037735849,0.040091246,0.073171964,0.035601266,0.152776831,0.043351361,0.688015393,0.037128713,0.733044962,0.047144831,0.061633663
cg26426142,0.832964073,0.116252465,0.075720976,0.467370764,0.593326886,0.33784662,0.789943469,0.880861378,0.053455776,0.070644674,0.818388439,0.859212169,0.070675319,0.907463323,0.065420561,0.518469082,0.07513446,0.071782477,0.714481617,0.730333248,0.070145785,0.030488771,0.099216854,0.075932203,0.192028601,0.842901709,0.896280088,0.06839207,0.082652039,0.319693424,0.351271437,0.085423929,0.01411529,0.059143969,0.07755418,0.879930039,0.061292222,0.086787257
cg25570913,0.84593739,0.333333333,0.174913387,0.327907525,0.62919103,0.052526316,0.843280467,0.851983003,0.126441216,0.856618952,0.240929038,0.835868219,0.205796573,0.059517458,0.049678342,0.299150991,0.879426644,0.043245241,0.767440584,0.75033227,0.022658878,0.774869792,0.083801686,0.879674797,0.085939046,0.42109589,0.043934029,0.847917687,0.034405719,0.147918474,0.074951267,0.029625489,0.078725711,0.052355334,0.049995388,0.76655017,0.048086499,0.248233706
cg16005540,0.589267132,0.183263269,0.025854383,0.308067982,0.557397639,0.017556431,0.617200916,0.894877268,0.063620561,0.911327588,0.018074558,0.1329845,0.030331167,0.17809978,0.665500795,0.13485611,0.796483352,0.015632364,0.645182724,0.733978551,0.818705747,0.538856776,0.28129544,0.92077539,0.100350944,0.027006845,0.074269819,0.635414575,0.036792692,0.152397099,0.023333333,0.940515701,0.030989445,0.813399779,0.024848747,0.110817194,0.02825313,0.03112962
cg13643914,0.826301874,0.012367688,0.10153116,0.039915966,0.594919343,0.028314751,0.757045726,0.904590761,0.187911773,0.867755403,0.017395365,0.802231283,0.125565134,0.261510872,0.347597532,0.050324302,0.016883712,0.026882044,0.659636731,0.718996286,0.770795436,0.705011703,0.300759356,0.867159997,0.035413631,0.008730692,0.284012117,0.021073559,0.040385448,0.045973062,0.030442737,0.019603023,0.077756155,0.732400462,0.024052181,0.775544264,0.02825491,0.115538058
cg08548396,0.807627921,0.033707482,0.147458897,0.035953557,0.48907135,0.034066911,0.755660281,0.014988793,0.09620098,0.695284553,0.431947269,0.855620921,0.163541575,0.607923774,0.021214083,0.048222029,0.804771216,0.038765633,0.058633072,0.692420538,0.342623193,0.808595967,0.036717255,0.7432386,0.944446365,0.456583185,0.631554261,0.724108023,0.027596746,0.905606439,0.071860199,0.017766955,0.085733464,0.477082947,0.047491433,0.832274281,0.027443305,0.20976351
cg15387132,0.859471119,0.035177866,0.043062579,0.359349351,0.585734801,0.374110032,0.810524409,0.855132685,0.075560589,0.052195907,0.80748464,0.833333333,0.05379494,0.834538879,0.042546519,0.372287781,0.026529659,0.032210502,0.511204137,0.736740131,0.061617458,0.050917081,0.046004098,0.05141356,0.15167203,0.867908552,0.836442061,0.038186158,0.031929825,0.191708321,0.330172501,0.031767687,0.10020787,0.062972769,0.032137285,0.841871615,0.052691325,0.052971055
cg15490715,0.757397435,0.025928244,0.017983266,0.772577539,0.489343193,0.014839562,0.72136701,0.77951312,0.134623278,0.788957881,0.695090034,0.730530669,0.013351054,0.812306308,0.523118817,0.850526687,0.679979814,0.016095795,0.542307013,0.565606551,0.427535181,0.744882601,0.400430127,0.784694998,0.034798424,0.733479951,0.842311798,0.71851285,0.017881935,0.024511993,0.018948513,0.011357247,0.052293185,0.346787731,0.013889634,0.695600331,0.024949198,0.02031938
cg03048083,0.038959015,0.06415397,0.029658432,0.430380461,0.65150838,0.025484601,0.02454418,0.892877558,0.050725166,0.429309882,0.478132031,0.784174496,0.049319588,0.928426218,0.040176063,0.445101751,0.028115076,0.677638219,0.651682816,0.752839117,0.396808511,0.838279009,0.048485909,0.473871814,0.067276222,0.68446058,0.929907286,0.025450386,0.029917671,0.073642348,0.024859663,0.036047286,0.013917814,0.020945835,0.646688546,0.738619224,0.031071074,0.037960383
cg12074025,0.1292204,0.764051405,0.510467551,0.891551811,0.629254063,0.028391167,0.15930795,0.896467263,0.143117282,0.076355323,0.377285037,0.864817375,0.329214211,0.943063609,0.636596886,0.930538808,0.645252215,0.460441048,0.729796821,0.72652973,0.026175172,0.062873854,0.351216752,0.137483176,0.06274842,0.523145093,0.927697346,0.638947064,0.034648701,0.085737713,0.031659765,0.941488177,0.023868568,0.106498587,0.483493029,0.778173285,0.037275768,0.34415407
cg25556905,0.698327672,0.042289432,0.047247288,0.517518349,0.557362426,0.227153424,0.638513042,0.787785035,0.330880098,0.697069683,0.715574837,0.76480158,0.04347032,0.892340792,0.020613497,0.518973444,0.017701049,0.021676818,0.634268784,0.678463269,0.058187759,0.015136226,0.024222704,0.723258538,0.045733284,0.741782253,0.886567665,0.014393196,0.027327145,0.033727662,0.097545626,0.013189541,0.037837838,0.02187553,0.017741129,0.777060046,0.025621703,0.058160344
cg20814095,0.816301146,0.288299712,0.26284596,0.745435334,0.033307271,0.00943639,0.769817251,0.823273958,0.086587082,0.028696386,0.725230499,0.731772738,0.167712058,0.807311554,0.121864952,0.805492713,0.040232794,0.249683891,0.383387353,0.017480136,0.026749725,0.079086473,0.056633338,0.023185883,0.870838347,0.700406918,0.8334297,0.015714174,0.054259876,0.75243955,0.032099383,0.037215446,0.484566568,0.0267335,0.131048552,0.716306093,0.030748416,0.255324989
cg07701237,0.860019361,0.029030165,0.037300033,0.350263264,0.548459564,0.27256823,0.810799879,0.869088157,0.081944557,0.04397734,0.804758308,0.801783543,0.034544937,0.843555169,0.04265562,0.315769806,0.026353618,0.037961084,0.499205087,0.670770746,0.046638508,0.045130902,0.034072049,0.043490116,0.099142317,0.858340978,0.829637708,0.022417066,0.041136322,0.166268329,0.273581701,0.043044043,0.037916437,0.050292651,0.043483329,0.766037736,0.048308214,0.041184597
cg02512505,0.733447332,0.037744979,0.025771859,0.029695082,0.508007687,0.037626814,0.708395559,0.806136573,0.014751672,0.798153953,0.027967989,0.778021376,0.018923465,0.135651322,0.055167678,0.032224053,0.017953321,0.016413467,0.576289137,0.576866764,0.757236621,0.763775305,0.037581306,0.772910762,0.027130998,0.017572858,0.117985075,0.040639074,0.037431429,0.050406914,0.024401971,0.03084726,0.682530795,0.768481898,0.017820109,0.728470111,0.035274356,0.027581157
cg27299406,0.472652715,0.704717908,0.032809172,0.525589823,0.517479781,0.029118468,0.494424284,0.84004668,0.027218554,0.768017141,0.031132609,0.784499612,0.035887992,0.292167742,0.641291855,0.527133724,0.039286858,0.058256288,0.60090515,0.613142232,0.033132217,0.012917388,0.46037879,0.803695695,0.904549347,0.039818548,0.25122082,0.030650361,0.033660967,0.847906579,0.029311479,0.861550664,0.017932278,0.033978495,0.043259378,0.743245702,0.031882281,0.026855668
cg00519002,0.777656904,0.04396797,0.054541907,0.073961237,0.530194559,0.057908497,0.730860656,0.848596638,0.055276382,0.817479216,0.037464605,0.72211685,0.051038576,0.107163247,0.055322618,0.074627403,0.044357272,0.044995109,0.613544951,0.643796253,0.787194935,0.823052662,0.046885859,0.832209532,0.0677826,0.03970495,0.167591565,0.045736205,0.046921365,0.059279023,0.050874404,0.051877445,0.09902497,0.787841727,0.044736977,0.729367319,0.068806301,0.070382211
cg03304610,0.810456685,0.041963097,0.08002808,0.069281102,0.52,0.045803338,0.750583037,0.854502819,0.105052506,0.475458115,0.83980689,0.75588651,0.090669769,0.046779275,0.597923168,0.086281903,0.780737372,0.054338017,0.655391608,0.667559331,0.025922628,0.788860405,0.422258877,0.4856875,0.051048168,0.820731153,0.046240879,0.747369033,0.050410598,0.060359052,0.066886937,0.034812819,0.021109847,0.029692471,0.032995082,0.736380641,0.052505967,0.116019308
cg16657538,0.316281971,0.377242303,0.075265626,0.053597252,0.633906038,0.033024431,0.353681443,0.867415049,0.093120163,0.839096683,0.773502948,0.834608228,0.067880795,0.495893911,0.036042163,0.066422089,0.828743975,0.166230644,0.68939233,0.727832965,0.710441843,0.025354493,0.056832145,0.846660454,0.087667811,0.584179928,0.485869133,0.82770233,0.042413563,0.093627065,0.037953795,0.651902082,0.082083394,0.727714323,0.057638106,0.810468131,0.046246211,0.06152513
cg18087672,0.844075876,0.054664244,0.067542214,0.65785313,0.533053305,0.061698773,0.796516915,0.843536634,0.102291136,0.795220387,0.51556564,0.090116164,0.064793943,0.70284708,0.065638093,0.752240614,0.779225436,0.055100262,0.596811308,0.678300106,0.593424076,0.805633947,0.054789636,0.806550332,0.084349382,0.530362432,0.725596084,0.773064752,0.039365484,0.074671178,0.057880301,0.045878694,0.070857242,0.615715078,0.064571625,0.100820716,0.04687339,0.077178805
cg26248173,0.856117825,0.125822175,0.100331854,0.289618726,0.633146771,0.015888027,0.832908831,0.44826177,0.060023866,0.099629124,0.055438524,0.857889265,0.156851416,0.640766001,0.427555524,0.20383389,0.031057444,0.022580645,0.438077076,0.722936483,0.013174146,0.855794052,0.357762925,0.107177243,0.93779543,0.014510401,0.619942943,0.030277455,0.033340935,0.954154433,0.051599848,0.559344334,0.046643167,0.172767826,0.020247469,0.818272629,0.024593166,0.144710705
cg18007850,0.059595013,0.063818301,0.086880805,0.791343327,0.6827633,0.34750103,0.062688366,0.859899685,0.115837154,0.676876268,0.060301508,0.839862097,0.061314174,0.85688396,0.059992666,0.873177879,0.073232323,0.044312526,0.666934206,0.733330762,0.570343979,0.035558401,0.069856526,0.625753829,0.103861092,0.039155494,0.879471207,0.076008493,0.07773254,0.072736089,0.352235867,0.068492196,0.221562191,0.627988621,0.055763406,0.767727318,0.050006106,0.056689629
cg10932018,0.720928999,0.07439603,0.113873959,0.409212481,0.657389801,0.067373494,0.716310707,0.899182417,0.130085349,0.689405212,0.036646069,0.830813807,0.156733986,0.749030266,0.724517334,0.433596163,0.025615642,0.093071911,0.755724584,0.744121262,0.016625178,0.015197368,0.563583926,0.766039871,0.06379535,0.201698514,0.686401293,0.03154864,0.032170042,0.044298046,0.043349996,0.023527005,0.035925583,0.014969674,0.013923645,0.826059517,0.060725402,0.140011255
cg08217024,0.855345514,0.036441894,0.077595858,0.087094659,0.622575833,0.050341746,0.796454257,0.826316645,0.127512171,0.830921613,0.029081674,0.817586089,0.095204613,0.060891196,0.026727727,0.071870382,0.009176434,0.036200104,0.685312218,0.713843543,0.03331467,0.103278536,0.031650071,0.860775588,0.065660129,0.012683879,0.047056296,0.031665122,0.04670913,0.061222737,0.036849863,0.025276964,0.052064632,0.02632874,0.034004411,0.817571895,0.025823941,0.099429085
cg06765217,0.824514171,0.448679325,0.128923702,0.835077382,0.610452962,0.042977744,0.777493364,0,0.067087829,0.741103043,0.330212922,0.346194604,0.244475761,0.845530338,0.631962468,0.881500842,0.852952814,0.039262459,0.651965404,0.677319588,0.712869895,0.806783205,0.436236246,0.83897564,0.049842709,0.812168766,0.855787109,0.81662044,0.053776776,0.070982642,0.05661882,0.473777349,0.039747828,0.747844542,0.036584735,0.443198529,0.04985889,0.226741151
cg01419831,0.818177354,0.04403435,0.051629103,0.823512041,0.595080552,0.035933535,0.795256258,0.828719008,0.157953761,0.79361806,0.71981364,0.754232124,0.073891301,0.844702618,0.57246589,0.833611761,0.532737803,0.038387852,0.627754415,0.633306484,0.519355283,0.462611517,0.367405731,0.807257227,0.08770872,0.672167772,0.854269156,0.574516496,0.050959795,0.097472037,0.042115188,0.045035754,0.026895307,0.658310353,0.036513393,0.730440244,0.053844243,0.063202331
cg27014135,0.642613215,0.037885131,0.017290119,0.077025898,0.659823713,0.017993291,0.59175,0.904209622,0.169415067,0.776755448,0.010859301,0.079757589,0.016339646,0.042686101,0.01651425,0.063710499,0.865332014,0.017846303,0.735473374,0.784537389,0.022866284,0.01214876,0.026174546,0.860729856,0.034886466,0.094743535,0.043719353,0.847899299,0.024959556,0.061588396,0.029844686,0.017290553,0.094595484,0.027167085,0.026823186,0.056199305,0.022307397,0.02053851
cg11930908,0.789316026,0.257525316,0.05,0.461331281,0.587546105,0.030017153,0.769099132,0.863762102,0.080384885,0.139172388,0.782013685,0.780174879,0.049987955,0.890420168,0.573373033,0.467672238,0.044614984,0.040224509,0.715611184,0.719752147,0.118710789,0.059272919,0.308723281,0.32306338,0.122569577,0.5946489,0.874985477,0.041598179,0.038326848,0.163928655,0.027717627,0.890178201,0.670761339,0.328438469,0.049094316,0.826218228,0.042730845,0.052575614
cg27577527,0.804723727,0.239806782,0.044919529,0.770348406,0.553914674,0.254136643,0.770920416,0.845451224,0.20462805,0.596452328,0.635200669,0.880832752,0.034921715,0.804283067,0.746082098,0.781344006,0.035571543,0.039760154,0.717802032,0.536421072,0.336651306,0.431896838,0.583610561,0.604328104,0.07785742,0.781709402,0.786691967,0.050224393,0.051282051,0.081016083,0.168780832,0.872639667,0.063110064,0.093825799,0.044550975,0.824725314,0.045786654,0.037408759
cg08768569,0.631704766,0.111675457,0.087862993,0.101686839,0.289922269,0.064384954,0.620909477,0.898938736,0.077863362,0.821748771,0.469119309,0.781251548,0.099187986,0.12688478,0.045495014,0.110209312,0.863176859,0.076881253,0.746020531,0.289583712,0.068202887,0.857794494,0.06805494,0.894655134,0.106193505,0.833733014,0.108943917,0.823598359,0.036339826,0.122742558,0.054157549,0.049243932,0.464807387,0.083629472,0.069073432,0.597758842,0.045220966,0.09403255
cg04110601,0.02845843,0.031619976,0.047288006,0.055259768,0.704908482,0.026807388,0.031376101,0.921659684,0.115558672,0.538082674,0.011706837,0.881966839,0.057901371,0.047068371,0.010352313,0.068982754,0.010799365,0.043626449,0.798029806,0.793514702,0.01498847,0.872549538,0.033982594,0.56843772,0.058126556,0.021331738,0.044464734,0.01369863,0.024949479,0.048707593,0.024755028,0.027084489,0.590753842,0.022289157,0.043865467,0.867534751,0.030602252,0.109861473
cg04743654,0.735948401,0.499134734,0.061145883,0.738661877,0.571183925,0.22374169,0.729438202,0.802446483,0.139291657,0.199288784,0.715208456,0.746858533,0.040413112,0.821343703,0.497758761,0.79554222,0.058897243,0.03396488,0.652001535,0.671018614,0.055605543,0.229109275,0.2522056,0.147784165,0.770259549,0.795304669,0.826504481,0.05621772,0.042700077,0.827312066,0.205863742,0.851565852,0.059989429,0.05221998,0.047454821,0.721008891,0.037937743,0.050234809
cg08195943,0.041590418,0.040074906,0.040367251,0.057983233,0.448269866,0.027001149,0.044883893,0.817137229,0.096179775,0.176103896,0.37719457,0.86095179,0.053894011,0.869401257,0.037179373,0.085224302,0.792098729,0.050795948,0.614129696,0.661519551,0.423952008,0.775492277,0.035304126,0.174198408,0.0831349,0.438157442,0.89999489,0.758760905,0.033696216,0.075440715,0.042659975,0.022964107,0.035877937,0.029875413,0.037225295,0.818560539,0.046683597,0.03633807
cg13481969,0.746552771,0.031292672,0.087893175,0.825951132,0.667902706,0.062361155,0.695994411,0.847035862,0.335431895,0.536508082,0.523394756,0.060292614,0.146666667,0.844307021,0.018066772,0.826360387,0.016993275,0.045632177,0.689402657,0.704006794,0.539536898,0.032487641,0.021030195,0.542205597,0.034937376,0.538332635,0.862642475,0.016214685,0.021701045,0.037879287,0.091414453,0.019493177,0.030435827,0.523966006,0.043473488,0.025546206,0.03399902,0.159362319
